TransactionAmount,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,AccountStatus,TransactionType,Channel,CustomerOccupation
7.490000000000009,Houston,65.0,276.0,1.0,3634.67,Normal,Credit,Online,Retired
246.93,Miami,23.0,158.0,5.0,673.3500000000004,Suspicious,Debit,ATM,Student
40.31999999999999,Milwaukee,37.0,95.0,1.0,2686.52,Normal,Debit,Branch,Engineer
127.44999999999999,Milwaukee,44.0,197.0,1.0,1772.06,Normal,Debit,Online,Doctor
56.170000000000016,Houston,27.0,283.0,1.0,1351.69,Normal,Debit,Branch,Student
28.310000000000002,Miami,59.0,20.0,1.0,8334.47,Normal,Credit,Online,Doctor
59.120000000000005,Louisville,29.0,257.0,1.0,9823.64,Normal,Debit,ATM,Doctor
396.45,New York,49.0,168.0,3.0,9690.15,Suspicious,Debit,ATM,Engineer
877.81,Los Angeles,22.0,150.0,1.0,399.0,Normal,Debit,Online,Student
255.26,San Francisco,45.0,50.0,1.0,14815.87,Normal,Credit,Branch,Doctor
124.75999999999999,Atlanta,49.0,45.0,1.0,5764.72,Normal,Debit,Branch,Engineer
78.13,Milwaukee,26.0,145.0,1.0,900.6099999999997,Normal,Debit,Branch,Student
649.28,Austin,75.0,137.0,1.0,4875.86,Normal,Debit,ATM,Retired
795.31,Atlanta,66.0,90.0,2.0,7914.88,Normal,Debit,ATM,Doctor
335.63,Charlotte,55.0,216.0,1.0,1019.3899999999999,Normal,Debit,Online,Retired
328.47,Austin,63.0,119.0,1.0,4323.66,Normal,Debit,ATM,Retired
34.01999999999998,Tucson,38.0,19.0,1.0,14214.48,Normal,Debit,Online,Doctor
241.42,Charlotte,57.0,116.0,1.0,13357.02,Normal,Credit,Online,Doctor
55.31999999999999,Tucson,19.0,117.0,1.0,241.78999999999996,Normal,Debit,ATM,Student
304.31,Louisville,27.0,33.0,1.0,868.6099999999997,Normal,Debit,Branch,Student
435.27,Jacksonville,74.0,90.0,1.0,4673.28,Normal,Debit,Branch,Retired
164.49,Louisville,26.0,75.0,1.0,1509.27,Normal,Debit,Branch,Student
510.24,Charlotte,19.0,105.0,1.0,781.6999999999998,Normal,Debit,Online,Student
626.9,Denver,26.0,138.0,1.0,265.5100000000002,Normal,Debit,Online,Student
22.00999999999999,Sacramento,41.0,175.0,1.0,1335.0900000000001,Normal,Credit,Online,Engineer
425.34,Atlanta,69.0,121.0,1.0,3907.54,Normal,Credit,Online,Retired
424.56,Omaha,51.0,264.0,1.0,5183.85,Normal,Debit,Online,Engineer
85.43,Milwaukee,67.0,145.0,1.0,14904.9,Normal,Debit,Branch,Doctor
169.5,Austin,28.0,142.0,1.0,918.8800000000001,Normal,Debit,Branch,Student
104.63,Omaha,62.0,90.0,1.0,4477.78,Normal,Debit,ATM,Retired
316.95,Atlanta,25.0,83.0,1.0,1324.0299999999997,Normal,Debit,Branch,Student
60.53999999999999,Columbus,57.0,52.0,1.0,3534.93,Normal,Credit,Branch,Retired
292.56,Dallas,68.0,61.0,1.0,4638.37,Normal,Credit,Branch,Retired
386.52,New York,48.0,28.0,1.0,5630.61,Normal,Debit,Branch,Engineer
112.07,Atlanta,23.0,51.0,1.0,930.3000000000002,Normal,Debit,Branch,Student
568.52,New York,46.0,152.0,1.0,5499.91,Normal,Debit,ATM,Engineer
263.99,Dallas,79.0,227.0,2.0,4175.02,Normal,Debit,Branch,Retired
349.64,Milwaukee,48.0,226.0,1.0,6651.62,Normal,Debit,Online,Engineer
601.4,Tucson,56.0,104.0,1.0,8458.29,Normal,Credit,Branch,Engineer
5.769999999999982,Charlotte,50.0,124.0,1.0,13988.12,Normal,Debit,Online,Doctor
201.33,Milwaukee,42.0,186.0,1.0,2585.07,Normal,Credit,Branch,Engineer
298.42,New York,56.0,225.0,1.0,3014.75,Normal,Debit,Branch,Retired
521.06,Albuquerque,25.0,128.0,1.0,1951.42,Normal,Debit,Branch,Student
117.28,Austin,60.0,16.0,1.0,3665.77,Normal,Credit,Online,Engineer
189.12,New York,32.0,103.0,1.0,977.0100000000002,Normal,Credit,Branch,Engineer
133.55,Atlanta,44.0,220.0,1.0,3846.28,Normal,Debit,ATM,Engineer
143.21,Dallas,35.0,135.0,1.0,6374.82,Normal,Debit,Online,Engineer
24.769999999999982,Atlanta,62.0,55.0,1.0,5866.01,Normal,Debit,ATM,Retired
233.92,Jacksonville,26.0,280.0,1.0,6537.62,Normal,Credit,Online,Student
1212.51,New York,20.0,24.0,1.0,605.9499999999998,Normal,Debit,Branch,Student
232.12,Omaha,37.0,51.0,1.0,6689.87,Normal,Debit,ATM,Engineer
162.63,Atlanta,22.0,113.0,1.0,634.1700000000001,Normal,Debit,Online,Student
91.53,Milwaukee,44.0,69.0,1.0,14676.05,Normal,Debit,Branch,Doctor
120.29000000000002,Miami,19.0,77.0,1.0,1362.3900000000003,Normal,Debit,Branch,Student
174.25,Atlanta,50.0,67.0,1.0,10528.34,Normal,Debit,Online,Doctor
183.71,Denver,38.0,102.0,1.0,552.5200000000004,Normal,Debit,ATM,Engineer
345.39,Milwaukee,58.0,80.0,1.0,6451.96,Normal,Credit,Online,Engineer
922.55,Houston,63.0,87.0,1.0,4715.84,Normal,Debit,ATM,Retired
259.91,Denver,49.0,170.0,1.0,7176.86,Normal,Debit,Online,Doctor
154.71,Austin,34.0,157.0,1.0,1523.7200000000003,Normal,Debit,Online,Doctor
1340.19,Austin,54.0,30.0,1.0,8654.28,Normal,Credit,Online,Engineer
24.560000000000002,Atlanta,64.0,69.0,1.0,9869.93,Normal,Debit,Branch,Doctor
568.07,Washington,48.0,115.0,1.0,10556.81,Normal,Debit,ATM,Doctor
9.610000000000014,Austin,58.0,179.0,1.0,12883.91,Normal,Credit,Online,Doctor
392.96,Atlanta,24.0,100.0,1.0,791.6499999999996,Normal,Debit,Online,Student
716.93,Milwaukee,60.0,34.0,1.0,4064.02,Normal,Credit,Online,Retired
223.85,Atlanta,53.0,55.0,4.0,2929.91,Suspicious,Debit,ATM,Engineer
230.66,Houston,21.0,135.0,1.0,618.0500000000002,Normal,Debit,Branch,Student
442.12,Los Angeles,19.0,260.0,1.0,1375.8000000000002,Normal,Debit,Online,Student
644.17,Austin,29.0,72.0,1.0,1143.52,Normal,Debit,ATM,Engineer
508.68,Atlanta,51.0,127.0,1.0,7708.41,Normal,Credit,Branch,Engineer
858.6300000000001,San Francisco,27.0,185.0,1.0,1872.96,Normal,Credit,Branch,Student
25.360000000000014,Louisville,57.0,78.0,1.0,201.03999999999996,Normal,Debit,ATM,Engineer
147.62,Charlotte,71.0,133.0,1.0,2115.8,Normal,Debit,Branch,Retired
115.01999999999998,Austin,37.0,175.0,1.0,7643.66,Normal,Debit,Branch,Doctor
383.37,Fort Worth,30.0,24.0,1.0,8901.93,Normal,Debit,Branch,Engineer
98.54000000000002,El Paso,20.0,167.0,1.0,9383.43,Normal,Credit,Online,Student
83.24000000000001,Fort Worth,55.0,164.0,1.0,1181.31,Normal,Credit,Branch,Doctor
196.16,Milwaukee,27.0,146.0,1.0,9418.86,Normal,Debit,Branch,Engineer
129.94,Milwaukee,32.0,235.0,1.0,7954.92,Normal,Debit,ATM,Engineer
306.9,Jacksonville,46.0,51.0,1.0,9418.08,Normal,Debit,Online,Engineer
114.98000000000002,Atlanta,59.0,80.0,1.0,6144.68,Normal,Debit,Online,Retired
756.59,Sacramento,27.0,17.0,1.0,420.64999999999964,Normal,Debit,Branch,Student
503.76,Los Angeles,22.0,35.0,1.0,447.8199999999997,Normal,Debit,Online,Student
143.03,Austin,63.0,147.0,1.0,7981.45,Normal,Debit,ATM,Retired
1045.22,Columbus,53.0,73.0,1.0,1829.9,Normal,Debit,ATM,Retired
245.54,New York,25.0,180.0,1.0,985.0599999999995,Normal,Debit,ATM,Student
254.37,Dallas,51.0,174.0,1.0,8849.26,Normal,Credit,Online,Engineer
213.76,Dallas,78.0,282.0,1.0,3528.72,Normal,Credit,ATM,Retired
327.86,Jacksonville,40.0,104.0,1.0,480.15999999999985,Normal,Debit,Online,Engineer
2.5,Austin,47.0,107.0,1.0,12145.27,Normal,Debit,Online,Doctor
300.08,Austin,68.0,47.0,1.0,13546.75,Normal,Credit,Online,Doctor
56.97999999999999,Charlotte,43.0,122.0,2.0,5688.37,Normal,Credit,ATM,Engineer
407.65,Atlanta,26.0,62.0,1.0,8346.64,Normal,Debit,Online,Engineer
115.82999999999996,Jacksonville,39.0,167.0,1.0,6481.04,Normal,Debit,Branch,Engineer
53.56999999999999,Houston,69.0,121.0,1.0,1651.33,Normal,Debit,ATM,Retired
63.34,Houston,46.0,165.0,1.0,11174.94,Normal,Credit,Online,Doctor
317.87,Houston,27.0,91.0,1.0,145.5,Normal,Debit,Online,Student
331.65,Portland,41.0,61.0,1.0,4172.57,Normal,Debit,Online,Engineer
5.0400000000000205,Washington,56.0,41.0,1.0,5558.36,Normal,Debit,ATM,Retired
214.54,Houston,70.0,247.0,1.0,11151.53,Normal,Credit,Online,Doctor
598.81,Tucson,57.0,158.0,1.0,1415.52,Normal,Debit,Branch,Doctor
841.28,Tucson,26.0,80.0,1.0,1103.6400000000008,Normal,Debit,Online,Student
38.14999999999998,Atlanta,26.0,108.0,1.0,303.6800000000003,Normal,Debit,Online,Student
1036.66,Austin,58.0,144.0,1.0,5541.57,Normal,Debit,Branch,Doctor
124.72,Charlotte,33.0,105.0,1.0,6309.8,Normal,Debit,Branch,Engineer
302.45,Austin,78.0,40.000000000000014,1.0,5133.61,Normal,Credit,Branch,Retired
208.04,Louisville,47.0,273.0,1.0,9344.98,Normal,Debit,Online,Engineer
5.769999999999982,Los Angeles,23.0,254.0,1.0,1117.9700000000003,Normal,Credit,Branch,Student
381.33,Albuquerque,56.0,75.0,1.0,11835.35,Normal,Debit,ATM,Doctor
16.160000000000025,Milwaukee,50.0,124.0,1.0,14401.17,Normal,Debit,ATM,Doctor
486.08,Charlotte,18.0,68.0,1.0,1748.69,Normal,Debit,Online,Student
336.39,Austin,21.0,18.0,1.0,1000.46,Normal,Debit,Branch,Student
997.4300000000001,Atlanta,69.0,118.0,1.0,6810.05,Normal,Debit,Online,Doctor
234.57,Jacksonville,23.0,120.0,1.0,263.97999999999956,Normal,Debit,Online,Student
6.0,Jacksonville,30.0,246.0,1.0,5442.76,Normal,Debit,Online,Doctor
1049.92,Houston,80.0,20.999999999999986,1.0,2037.85,Normal,Debit,ATM,Retired
227.14,Charlotte,18.0,294.0,1.0,341.9399999999996,Normal,Debit,ATM,Student
233.74,Charlotte,66.0,17.0,1.0,1066.5900000000001,Normal,Credit,Online,Retired
113.01999999999998,Jacksonville,69.0,166.0,1.0,6077.96,Normal,Credit,Branch,Retired
45.849999999999994,Los Angeles,20.0,92.0,1.0,1659.15,Normal,Debit,ATM,Student
973.3900000000001,Sacramento,77.0,296.0,1.0,2042.2200000000003,Normal,Debit,Branch,Retired
514.95,New York,41.0,142.0,5.0,421.9300000000003,Suspicious,Debit,Online,Doctor
415.5,Houston,66.0,141.0,1.0,10113.66,Normal,Debit,ATM,Doctor
265.76,Tucson,54.0,92.0,1.0,4446.17,Normal,Debit,Online,Retired
69.4,Milwaukee,80.0,113.0,1.0,6452.77,Normal,Debit,Online,Retired
332.93,Albuquerque,35.0,293.0,1.0,2788.2,Normal,Credit,Branch,Engineer
267.9,Austin,20.0,160.0,1.0,596.1599999999999,Normal,Debit,Online,Student
496.03,San Francisco,61.0,265.0,1.0,12904.66,Normal,Debit,Branch,Doctor
376.26,Tucson,37.0,245.0,1.0,9062.4,Normal,Debit,ATM,Engineer
83.01999999999998,Atlanta,36.0,171.0,1.0,9009.56,Normal,Credit,Online,Engineer
93.25999999999999,New York,20.0,72.0,1.0,1152.1999999999998,Normal,Credit,Online,Student
803.37,Houston,68.0,129.0,1.0,12168.37,Normal,Credit,Branch,Doctor
35.75999999999999,Charlotte,23.0,122.0,1.0,611.8599999999997,Normal,Debit,Branch,Student
28.53000000000003,Washington,62.0,99.0,1.0,8670.53,Normal,Debit,Online,Doctor
139.53,Louisville,53.0,177.0,1.0,10098.86,Normal,Credit,Online,Doctor
307.57,Houston,33.0,285.0,1.0,5307.74,Normal,Debit,Branch,Doctor
60.650000000000006,Tucson,56.0,53.0,1.0,1047.2799999999993,Normal,Credit,Branch,Retired
74.86000000000001,Milwaukee,70.0,125.0,1.0,6921.48,Normal,Debit,Branch,Doctor
117.97,Atlanta,51.0,137.0,1.0,1475.46,Normal,Debit,Branch,Retired
231.91,Houston,34.0,165.0,1.0,112.76000000000022,Normal,Debit,ATM,Engineer
126.20999999999998,Louisville,75.0,268.0,1.0,5669.66,Normal,Debit,Branch,Retired
506.28,Jacksonville,53.0,162.0,2.0,1309.9499999999998,Normal,Credit,Online,Retired
304.35,Houston,31.0,36.0,1.0,4057.1,Normal,Debit,Branch,Engineer
281.85,Houston,22.0,109.0,1.0,1585.98,Normal,Debit,ATM,Student
777.88,Houston,31.0,17.0,1.0,6825.55,Normal,Debit,Branch,Engineer
119.18,Los Angeles,56.0,96.0,1.0,5516.5,Normal,Debit,Branch,Retired
177.19,Jacksonville,76.0,43.0,1.0,5343.3,Normal,Debit,Online,Retired
260.88,Denver,22.0,36.0,1.0,903.0500000000002,Normal,Debit,Branch,Student
169.47,Jacksonville,24.0,19.0,1.0,1806.1599999999999,Normal,Debit,Online,Student
73.23000000000002,Portland,26.0,14.0,1.0,787.7399999999998,Normal,Debit,Branch,Student
1362.55,El Paso,29.0,106.0,1.0,2429.68,Normal,Debit,ATM,Engineer
792.57,Louisville,19.0,164.0,1.0,770.3699999999999,Normal,Debit,ATM,Student
237.06,Milwaukee,71.0,46.0,1.0,1182.7700000000004,Normal,Debit,Online,Retired
34.170000000000016,Tucson,54.0,54.0,1.0,726.5500000000002,Normal,Credit,Online,Engineer
740.25,Tucson,41.0,123.0,1.0,14464.3,Normal,Debit,Online,Doctor
453.54,Albuquerque,58.0,82.0,1.0,12046.3,Normal,Debit,ATM,Doctor
300.47,Jacksonville,73.0,100.0,1.0,7885.64,Normal,Debit,Branch,Retired
110.92999999999998,Milwaukee,19.0,201.0,1.0,1952.35,Normal,Credit,Branch,Student
201.69,Milwaukee,59.0,299.0,1.0,7328.52,Normal,Debit,ATM,Doctor
399.21,Portland,59.0,109.0,1.0,3210.39,Normal,Debit,ATM,Engineer
1041.88,Jacksonville,78.0,57.0,1.0,5726.2,Normal,Debit,Online,Retired
630.36,Atlanta,62.0,52.0,1.0,1363.65,Normal,Debit,ATM,Retired
10.939999999999998,Tucson,60.0,245.0,1.0,1241.9899999999998,Normal,Credit,ATM,Engineer
215.9,Los Angeles,38.0,235.0,1.0,7873.28,Normal,Debit,ATM,Doctor
1422.55,Washington,79.0,165.0,1.0,5674.32,Normal,Debit,Branch,Retired
226.37,Louisville,49.0,141.0,1.0,9840.04,Normal,Credit,Branch,Doctor
444.89,Milwaukee,43.0,101.0,1.0,10328.23,Normal,Credit,Branch,Doctor
280.57,Milwaukee,25.0,24.0,1.0,293.2399999999998,Normal,Credit,Online,Student
488.54,Jacksonville,52.0,132.0,1.0,7486.63,Normal,Debit,Branch,Engineer
3.3000000000000114,Los Angeles,50.0,131.0,1.0,11385.37,Normal,Credit,Branch,Doctor
199.39,Jacksonville,69.0,165.0,1.0,7264.79,Normal,Debit,Branch,Retired
20.360000000000014,Tucson,62.0,75.0,1.0,2762.48,Normal,Debit,Branch,Retired
113.63999999999999,Houston,62.0,32.0,1.0,6675.03,Normal,Debit,Online,Retired
493.11,Jacksonville,53.0,236.0,1.0,7432.99,Normal,Debit,Branch,Retired
307.41,Los Angeles,19.0,14.0,1.0,1057.0000000000005,Normal,Debit,ATM,Student
11.180000000000007,Atlanta,43.0,161.0,1.0,5956.89,Normal,Debit,Online,Doctor
313.82,Tucson,59.0,151.0,1.0,7261.59,Normal,Debit,Branch,Engineer
51.0,Atlanta,64.0,107.0,1.0,4943.16,Normal,Debit,Branch,Retired
140.98,Houston,60.0,100.0,1.0,8127.48,Normal,Debit,Branch,Engineer
288.04,Denver,68.0,63.0,1.0,1748.02,Normal,Debit,ATM,Retired
800.55,Charlotte,31.0,108.0,1.0,9660.22,Normal,Debit,ATM,Engineer
485.54,Houston,46.0,143.0,1.0,6371.51,Normal,Debit,ATM,Engineer
521.15,Atlanta,54.0,214.0,1.0,9442.47,Normal,Debit,ATM,Doctor
321.79,Austin,63.0,61.0,1.0,5959.2,Normal,Credit,ATM,Retired
304.93,Portland,65.0,158.0,1.0,13531.22,Normal,Debit,ATM,Doctor
432.08,El Paso,40.0,145.0,1.0,11500.62,Normal,Debit,ATM,Doctor
694.2,Milwaukee,61.0,72.0,1.0,1389.37,Normal,Debit,ATM,Retired
116.86000000000001,Louisville,55.0,171.0,1.0,6706.56,Normal,Debit,ATM,Engineer
386.81,Houston,57.0,149.0,1.0,7175.29,Normal,Credit,Online,Doctor
74.88,Atlanta,25.0,202.0,1.0,420.6700000000001,Normal,Debit,ATM,Student
195.76,Tucson,75.0,99.0,1.0,7323.53,Normal,Debit,Branch,Retired
134.7,Fort Worth,50.0,106.0,1.0,8395.85,Normal,Debit,ATM,Doctor
890.24,Milwaukee,33.0,161.0,1.0,5140.93,Normal,Credit,Online,Engineer
361.27,Omaha,63.0,180.0,1.0,7945.57,Normal,Debit,ATM,Doctor
131.56,Charlotte,44.0,42.0,1.0,5873.54,Normal,Debit,Branch,Doctor
485.51,Milwaukee,76.0,37.0,1.0,3074.45,Normal,Credit,Online,Retired
547.87,Columbus,64.0,131.0,1.0,6155.76,Normal,Debit,ATM,Retired
457.29999999999995,Milwaukee,28.0,15.0,1.0,8318.29,Normal,Debit,Online,Engineer
506.24,Jacksonville,58.0,64.0,1.0,230.09000000000015,Normal,Debit,ATM,Engineer
486.59,New York,57.0,119.0,1.0,2513.56,Normal,Debit,Branch,Retired
163.68,Austin,41.0,292.0,1.0,10090.05,Normal,Debit,Branch,Doctor
581.65,Atlanta,22.0,176.0,1.0,480.1899999999996,Normal,Debit,ATM,Student
52.00999999999999,Atlanta,48.0,85.0,1.0,1120.88,Normal,Debit,ATM,Doctor
630.24,Atlanta,21.0,62.0,1.0,370.8100000000004,Normal,Debit,ATM,Student
523.74,Charlotte,43.0,159.0,1.0,13498.55,Normal,Debit,ATM,Doctor
705.6,Milwaukee,40.0,124.0,3.0,14804.7,Fraud,Debit,Branch,Doctor
217.5,Denver,46.0,35.0,1.0,3057.4,Normal,Credit,Branch,Engineer
91.48000000000002,Fort Worth,51.0,141.0,1.0,14942.78,Normal,Debit,ATM,Doctor
5.25,Austin,39.0,49.0,1.0,14143.32,Normal,Debit,ATM,Doctor
54.03,Milwaukee,56.0,161.0,1.0,6736.3,Normal,Credit,ATM,Retired
736.73,Houston,48.0,10.0,1.0,3313.07,Normal,Debit,Branch,Engineer
368.91,Milwaukee,54.0,14.0,1.0,829.71,Normal,Debit,Branch,Doctor
33.06,Fort Worth,53.0,170.0,1.0,1540.87,Normal,Credit,Online,Retired
66.5,Louisville,32.0,144.0,1.0,6820.23,Normal,Credit,Online,Engineer
177.08,Milwaukee,35.0,85.0,1.0,13475.14,Normal,Debit,Online,Doctor
588.54,Portland,32.0,130.0,1.0,714.4499999999998,Normal,Debit,Branch,Engineer
173.5,Milwaukee,21.0,282.0,1.0,1306.9099999999999,Normal,Debit,ATM,Student
78.32999999999996,Houston,56.0,189.0,1.0,7255.33,Normal,Credit,Online,Engineer
40.660000000000025,Louisville,59.0,156.0,1.0,1153.8400000000006,Normal,Debit,Branch,Retired
97.22,Atlanta,77.0,55.0,1.0,6647.73,Normal,Credit,Branch,Retired
34.06999999999999,Tucson,22.0,81.0,1.0,8709.77,Normal,Debit,Branch,Student
492.06,Jacksonville,23.0,74.0,1.0,857.8999999999996,Normal,Debit,Online,Student
842.01,Milwaukee,53.0,185.0,1.0,509.4499999999998,Normal,Credit,Online,Doctor
73.55000000000001,Atlanta,51.0,158.0,1.0,2812.06,Normal,Debit,ATM,Engineer
760.53,Milwaukee,57.0,118.0,1.0,6179.91,Normal,Debit,Online,Engineer
273.08,Houston,26.0,134.0,1.0,6609.3,Normal,Credit,Branch,Engineer
371.69,San Francisco,67.0,143.0,1.0,3484.32,Normal,Debit,Branch,Retired
218.96,Atlanta,18.0,13.000000000000014,1.0,754.21,Normal,Debit,ATM,Student
227.39,Atlanta,18.0,65.0,1.0,751.0900000000001,Normal,Debit,Online,Student
237.99,Atlanta,39.0,86.0,1.0,8510.09,Normal,Credit,Branch,Doctor
186.6,Washington,58.0,13.000000000000014,1.0,1508.7200000000003,Normal,Debit,Online,Doctor
341.15,Austin,18.0,148.0,1.0,511.3699999999999,Normal,Debit,Online,Student
434.58,Houston,59.0,215.0,1.0,12648.32,Normal,Debit,ATM,Doctor
312.88,Portland,54.0,44.0,1.0,233.21000000000004,Normal,Credit,Branch,Engineer
75.15,Atlanta,23.0,154.0,1.0,1092.92,Normal,Debit,ATM,Student
23.30000000000001,Los Angeles,59.0,161.0,1.0,6711.15,Normal,Debit,ATM,Engineer
47.379999999999995,Atlanta,25.0,61.0,1.0,459.3699999999999,Normal,Credit,Online,Student
512.81,Sacramento,79.0,30.0,1.0,6994.34,Normal,Debit,Branch,Retired
488.15,Louisville,43.0,168.0,1.0,7071.09,Normal,Debit,Branch,Engineer
12.819999999999993,Fort Worth,44.0,156.0,1.0,9045.19,Normal,Debit,ATM,Engineer
66.9,Charlotte,79.0,129.0,4.0,5238.71,Fraud,Credit,Online,Retired
535.91,Milwaukee,43.0,22.0,1.0,9642.12,Normal,Debit,Online,Engineer
270.72,Washington,26.0,53.0,1.0,6263.96,Normal,Credit,Online,Engineer
97.98000000000002,Denver,72.0,18.0,1.0,7460.33,Normal,Debit,Branch,Retired
196.08,San Francisco,61.0,98.0,1.0,4233.82,Normal,Debit,Online,Retired
251.18,Austin,42.0,246.0,1.0,8303.9,Normal,Debit,ATM,Engineer
44.52000000000004,El Paso,28.0,205.0,1.0,314.27999999999975,Normal,Debit,Online,Student
178.87,Louisville,35.0,180.0,1.0,5241.23,Normal,Debit,Online,Doctor
1176.28,Atlanta,54.0,174.0,5.0,323.6899999999996,Fraud,Credit,ATM,Engineer
386.68,New York,46.0,128.0,1.0,6863.06,Normal,Debit,Branch,Doctor
167.14,Denver,76.0,20.0,1.0,3877.73,Normal,Debit,Online,Retired
345.22,Jacksonville,69.0,253.0,1.0,4046.58,Normal,Debit,Branch,Retired
74.85,Austin,72.0,117.0,1.0,2409.73,Normal,Debit,ATM,Retired
671.73,Washington,58.0,54.0,1.0,5211.88,Normal,Debit,Branch,Engineer
255.04,Atlanta,45.0,152.0,1.0,6217.86,Normal,Debit,ATM,Engineer
45.77000000000001,Tucson,25.0,109.0,1.0,5978.12,Normal,Debit,Online,Student
329.69,Austin,26.0,66.0,1.0,1671.6599999999999,Normal,Credit,Online,Student
362.04,Tucson,58.0,198.0,2.0,8421.88,Normal,Credit,Branch,Doctor
11.920000000000016,Austin,53.0,52.0,1.0,14611.9,Normal,Debit,Branch,Doctor
47.41999999999999,Austin,64.0,28.0,1.0,8253.52,Normal,Debit,ATM,Doctor
35.99000000000001,Miami,63.0,129.0,1.0,4489.79,Normal,Debit,Branch,Retired
151.19,New York,37.0,96.0,1.0,11903.82,Normal,Credit,Branch,Doctor
242.62,San Francisco,22.0,234.0,1.0,483.02000000000044,Normal,Credit,Online,Student
48.72,Milwaukee,21.0,17.0,1.0,816.0799999999999,Normal,Debit,Branch,Student
43.46000000000001,Atlanta,25.0,80.0,1.0,578.0599999999995,Normal,Debit,ATM,Student
1036.2099999999998,Omaha,25.0,126.0,1.0,477.3000000000002,Normal,Debit,Online,Student
443.78999999999996,Milwaukee,53.0,87.0,1.0,3133.8499999999995,Normal,Debit,ATM,Retired
365.14,Dallas,68.0,57.0,1.0,5894.09,Normal,Debit,Online,Retired
757.41,Los Angeles,22.0,37.0,1.0,9532.42,Normal,Debit,ATM,Student
20.54000000000002,Fort Worth,51.0,72.0,1.0,5327.03,Normal,Debit,Branch,Engineer
475.36,Milwaukee,34.0,105.0,1.0,2000.6,Normal,Debit,ATM,Engineer
34.74000000000001,San Francisco,56.0,24.0,1.0,6827.57,Normal,Debit,ATM,Retired
689.54,Charlotte,27.0,93.0,1.0,1633.7600000000002,Normal,Debit,Branch,Student
211.18,Washington,73.0,90.0,1.0,4069.17,Normal,Debit,ATM,Retired
211.36,Fort Worth,51.0,286.0,1.0,7943.47,Normal,Credit,Branch,Engineer
744.41,Houston,39.0,107.0,1.0,8842.47,Normal,Credit,Online,Engineer
61.43000000000001,Milwaukee,24.0,170.0,1.0,1882.77,Normal,Debit,Online,Student
167.44,Atlanta,37.0,82.0,1.0,12526.71,Normal,Debit,Branch,Doctor
361.46,Milwaukee,21.0,83.0,1.0,4737.84,Normal,Debit,Online,Student
378.85,Milwaukee,78.0,126.0,1.0,2300.53,Normal,Debit,Branch,Retired
241.11,Columbus,30.0,55.0,1.0,12385.05,Normal,Debit,Branch,Doctor
131.93,Fort Worth,31.0,13.000000000000014,1.0,4547.06,Normal,Credit,Branch,Engineer
20.28000000000003,Charlotte,36.0,213.0,1.0,2047.83,Normal,Debit,Online,Engineer
415.88,Austin,70.0,170.0,1.0,10008.33,Normal,Debit,Branch,Doctor
49.99000000000001,Omaha,62.0,139.0,1.0,2299.64,Normal,Debit,ATM,Retired
1221.65,Denver,27.0,153.0,1.0,243.92000000000007,Normal,Debit,Online,Student
